V1,V2,V3,V4,V5,V6,peakTF
12,37,7754,12372,0.999952445,0.284793458,SMC1A_monocyte
13,37,9308,12372,0.999999952,0.177186532,CREBBP_PC-3
2,37,2160,12372,0.992772372,0.269499628,IRF2BP2_HEK293
12,37,10105,12372,1,0.10662375,HNRNPLL_Hep-G2
16,37,9405,12372,0.999995795,0.23911912,HNRNPLL_K-562
4,37,825,12372,0.231183762,1.699823714,ZMYND11_HeLa
4,37,745,12372,0.181023161,1.896473312,SSRP1_hiF-T
11,37,6962,12372,0.999704132,0.327728771,KAT7_OCI-AML-3
2,37,1487,12372,0.947221189,0.417529178,KAT7_MOLM-13
18,37,9213,12372,0.999803832,0.323555909,NCAPH2_IMR-90
9,37,9423,12372,1,0.099770516,NCAPH2_HEK293
12,37,8193,12372,0.999993815,0.243756787,RBM22_K-562
10,37,6414,12372,0.999406388,0.343042441,XRN2_DLD-1
10,37,5421,12372,0.988653001,0.473964221,HDAC1_NB4
6,37,3391,12372,0.963050265,0.511759144,HDAC1_VCaP
8,37,7065,12372,0.999997784,0.206341174,HDAC1_PC-3
19,37,10052,12372,0.999992162,0.242228042,HDAC1_K-562
12,37,9994,12372,1,0.113176346,HDAC1_MCF-7
10,37,9120,12372,1,0.131158644,HDAC1_Hep-G2
10,37,5797,12372,0.995892838,0.419118652,ZEB1_PDAC
9,37,4639,12372,0.969618113,0.534929547,ZEB1_neuron
13,37,9422,12372,0.999999979,0.168477336,ZEB1_GM12878
8,37,5910,12372,0.999741234,0.300725545,ZEB1_HEK293
