"Run","p","OR","a","b","c","d","tissue"
"Run_Down4_Locus",0.401002113834977,1.34844011261336,6,21,19,78,"Skin_Sun_Exposed_Lower_leg"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Small_Intestine_Terminal_Ileum"
"Run_Down4_Locus",0.429501051636791,1.5380800683994,3,11,10,47,"Spleen"
"Run_Down4_Locus",0.858159392789374,0.532209456817837,1,7,8,36,"Stomach"
"Run_Down4_Locus",0.379723986864724,1.56606972682495,4,13,13,54,"Testis"
"Run_Down4_Locus",0.551282107542724,1.09744224585796,5,19,18,72,"Thyroid"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Uterus"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Vagina"
"Run_Down4_Locus",0.933596408621521,0.452993350120078,3,16,20,66,"Whole_Blood"
"Run_Down8_Locus",0.978811214740025,0.216870917937794,1,10,9,33,"Adipose_Subcutaneous"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Adipose_Visceral_Omentum"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Adrenal_Gland"
"Run_Down8_Locus",0.791937114149692,0.722594953464479,4,12,11,29,"Artery_Aorta"
"Run_Down8_Locus",0.874125874125874,0.524234308921816,1,5,4,14,"Artery_Coronary"
"Run_Down8_Locus",0.324719663133174,1.75885425649898,5,13,12,40,"Artery_Tibial"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Amygdala"
"Run_Down8_Locus",0.583333333333333,2.23608603290613,1,2,3,9,"Brain_Anterior_cingulate_cortex_BA24"
"Run_Down8_Locus",0.93006993006993,0.359728743114861,1,4,6,14,"Brain_Caudate_basal_ganglia"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Cerebellar_Hemisphere"
"Run_Down8_Locus",0.951620553359684,0.298038480347211,1,7,8,26,"Brain_Cerebellum"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Cortex"
"Run_Down8_Locus",0.948717948717949,0.302142618461739,1,7,4,15,"Brain_Frontal_Cortex_BA9"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Hippocampus"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Hypothalamus"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Nucleus_accumbens_basal_ganglia"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Putamen_basal_ganglia"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Spinal_cord_cervical_c-1"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Substantia_nigra"
"Run_Down8_Locus",0.815531475748194,0.680365942752371,1,4,6,19,"Breast_Mammary_Tissue"
"Run_Down8_Locus",0.439664014600218,1.41522683506842,5,12,14,39,"Cells_Cultured_fibroblasts"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Cells_EBV-transformed_lymphocytes"
"Run_Down8_Locus",0.781954887218045,0.759800286038795,2,5,10,22,"Colon_Sigmoid"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Colon_Transverse"
"Run_Down8_Locus",0.395510835913313,2.15829738569496,3,5,9,20,"Esophagus_Gastroesophageal_Junction"
"Run_Down8_Locus",0.559695958472377,1.17937971195266,4,10,13,35,"Esophagus_Mucosa"
"Run_Down8_Locus",0.868261030774935,0.545717066933681,2,10,9,32,"Esophagus_Muscularis"
"Run_Down8_Locus",0.523125996810207,1.56456049379518,2,5,7,22,"Heart_Atrial_Appendage"
"Run_Down8_Locus",0.723297213622291,0.904747243030058,2,7,6,20,"Heart_Left_Ventricle"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Kidney_Cortex"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Liver"
"Run_Down8_Locus",0.983000980712651,0.190773064593146,1,6,10,23,"Lung"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Minor_Salivary_Gland"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Muscle_Skeletal"
"Run_Down8_Locus",0.913582993449512,0.476366384229186,3,12,13,36,"Nerve_Tibial"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Ovary"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Pancreas"
"Run_Down8_Locus",0.823776223776224,0.687103219345878,1,4,4,13,"Pituitary"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Prostate"
"Run_Down8_Locus",0.546849652097028,1.30000427292612,3,7,11,29,"Skin_Not_Sun_Exposed_Suprapubic"
"Run_Down8_Locus",0.397668997668998,1.83087848569064,3,7,9,28,"Skin_Sun_Exposed_Lower_leg"
"Run_Down8_Locus",0.972027972027972,0.224612665455543,1,5,6,14,"Small_Intestine_Terminal_Ileum"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Spleen"
"Run_Down8_Locus",0.948717948717949,0.302142618461739,1,4,7,15,"Stomach"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Testis"
